session,scan_idx,readout_id,task_index,unit_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
6,4,4629,20544,5018,1122.28,466.43,272.93,RL,4,0.782931,all_model_readouts_v1,8.646911360514906e+17,root_864691136051490547,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
8,5,3782,39460,3977,636.02,288.55,250.63,LM,3,0.867747,all_model_readouts_v1,,,,unassigned,False,False,
7,5,7684,65719,8472,719.16,413.93,508.02,LM,7,0.610423,all_model_readouts_v1,,,,unassigned,False,False,
6,6,7630,5170,8201,1178.02,742.37,535.53,V1,8,0.612349,all_model_readouts_v1,8.646911362742209e+17,root_864691136274220990,L5NP,L5,True,True,aibs_metamodel_mtypes_v661_v2
5,7,5456,32149,5998,329.39,1055.6,440.37,V1,5,0.674082,all_model_readouts_v1,,,,unassigned,False,False,
6,4,747,21950,801,618.3,379.83,143.27,LM,1,0.673858,all_model_readouts_v1,,,,unassigned,False,False,
5,7,1330,25311,1444,1230.13,315.45,156.59,RL,2,0.61809,all_model_readouts_v1,8.646911357252179e+17,root_864691135725217963,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
7,5,8084,535,8908,1298.25,275.08,502.39,RL,8,,all_model_readouts_v1,,,,unassigned,False,False,
5,7,6420,355,7067,1089.03,64.9,429.78,AL,6,0.263756,all_model_readouts_v1,,,,unassigned,False,False,
8,5,985,76909,1034,283.0,548.16,237.6,V1,1,0.664366,all_model_readouts_v1,,,,unassigned,False,False,
8,5,9923,1007,10556,998.27,225.55,506.74,AL,8,0.538952,all_model_readouts_v1,8.646911351824781e+17,root_864691135182478082,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
6,7,5645,13045,6210,1189.1,506.33,394.11,RL,6,,all_model_readouts_v1,,,,unassigned,False,False,
6,2,6680,8191,7233,1084.73,108.36,422.0,AL,6,0.455224,all_model_readouts_v1,,,,unassigned,False,False,
6,2,6991,49286,7574,266.41,195.87,558.01,LM,7,0.590216,all_model_readouts_v1,,,,unassigned,False,False,
7,3,7081,54724,7653,731.19,358.13,487.98,LM,7,0.58231,all_model_readouts_v1,,,,unassigned,False,False,
4,7,4979,10914,5603,789.32,431.41,376.49,LM,6,0.610487,all_model_readouts_v1,,,,unassigned,False,False,
8,5,6188,95224,6534,424.87,998.54,374.76,V1,5,0.72988,all_model_readouts_v1,,,,unassigned,False,False,
9,4,3962,2367,4260,803.77,293.3,178.35,LM,4,0.607861,all_model_readouts_v1,8.646911363903912e+17,root_864691136390391167,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
5,6,7905,7203,8560,769.37,119.84,566.3,AL,8,0.461633,all_model_readouts_v1,,,,unassigned,False,False,
5,6,8402,4798,9063,1027.53,224.81,568.63,AL,8,0.419194,all_model_readouts_v1,8.646911355689725e+17,root_864691135568972524,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
9,4,7685,312,8231,1112.31,435.93,188.38,RL,6,0.53394,all_model_readouts_v1,8.646911350657755e+17,root_864691135065775428,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6,2,7395,94034,7980,366.82,1113.63,560.03,V1,7,0.569844,all_model_readouts_v1,,,,unassigned,False,False,
8,5,4625,39627,4865,1007.78,770.09,238.05,V1,4,0.546927,all_model_readouts_v1,8.646911355761641e+17,root_864691135576164126,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
6,4,2235,45314,2451,401.51,288.06,278.06,LM,3,0.723254,all_model_readouts_v1,,,,unassigned,False,False,
8,5,1584,57205,1669,723.85,414.13,233.65,LM,2,0.262399,all_model_readouts_v1,,,,unassigned,False,False,
5,7,2189,3433,2401,787.8,234.01,159.84,AL,2,0.382923,all_model_readouts_v1,,,,unassigned,False,False,
9,4,2641,51691,2853,572.96,308.8,178.42,LM,3,0.526446,all_model_readouts_v1,,,,unassigned,False,False,
5,7,5327,73355,5855,206.81,802.59,438.77,V1,5,0.66033,all_model_readouts_v1,,,,unassigned,False,False,
6,4,6116,6089,6621,1212.0,473.09,409.88,RL,6,0.728355,all_model_readouts_v1,8.646911353396864e+17,root_864691135339686374,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
7,3,7617,41182,8228,551.41,299.9,487.98,LM,7,0.144889,all_model_readouts_v1,,,,unassigned,False,False,
9,6,1469,38476,1592,1270.06,437.86,198.8,RL,2,0.598436,all_model_readouts_v1,8.646911364368344e+17,root_864691136436834462,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
7,5,6626,8696,7339,1092.17,137.25,365.43,AL,6,0.623395,all_model_readouts_v1,8.646911362103425e+17,root_864691136210342588,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
9,6,3957,43074,4263,755.16,416.92,225.26,LM,4,0.151006,all_model_readouts_v1,,,,unassigned,False,False,
6,4,6066,2995,6570,832.5,372.57,411.28,RL,6,0.791103,all_model_readouts_v1,8.64691136389209e+17,root_864691136389208951,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
4,7,3303,10074,3756,777.34,321.73,242.58,LM,4,0.915971,all_model_readouts_v1,,,,unassigned,False,False,
7,5,6999,50066,7754,669.07,331.49,507.22,LM,7,0.405259,all_model_readouts_v1,,,,unassigned,False,False,
7,3,225,73305,240,549.73,414.84,214.21,V1,1,,all_model_readouts_v1,,,,unassigned,False,False,
5,7,2228,38822,2442,1072.29,1010.2,164.37,V1,2,0.655517,all_model_readouts_v1,8.646911360435411e+17,root_864691136043541078,L2b,L23,True,True,aibs_metamodel_mtypes_v661_v2
6,7,4107,13850,4520,1013.6,177.67,254.83,AL,4,0.691308,all_model_readouts_v1,8.646911362277062e+17,root_864691136227706193,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
6,2,3776,1812,4105,1141.34,260.08,284.82,RL,4,,all_model_readouts_v1,,,,unassigned,False,False,
9,4,6681,1555,7166,825.8,370.15,188.71,LM,6,0.559957,all_model_readouts_v1,8.646911357263562e+17,root_864691135726356287,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
6,7,60,86706,69,600.02,495.44,125.89,V1,1,0.479299,all_model_readouts_v1,,,,unassigned,False,False,
9,6,3822,28160,4117,733.02,229.85,224.62,LM,4,0.513852,all_model_readouts_v1,,,,unassigned,False,False,
5,7,8073,3971,8797,1156.81,363.55,565.55,RL,8,,all_model_readouts_v1,,,,unassigned,False,False,
7,5,31,50262,34,250.12,183.28,199.79,LM,1,0.624069,all_model_readouts_v1,,,,unassigned,False,False,
9,6,2083,19823,2240,1147.46,518.39,200.52,RL,2,0.46557,all_model_readouts_v1,8.646911354475258e+17,root_864691135447525716,L2c,L23,True,True,aibs_metamodel_mtypes_v661_v2
6,7,6231,2431,6873,1204.9,107.54,390.11,AL,6,0.814837,all_model_readouts_v1,8.646911357413144e+17,root_864691135741314411,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
7,5,3616,10587,3996,942.44,169.92,232.95,AL,4,0.625731,all_model_readouts_v1,8.646911361388381e+17,root_864691136138838141,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
7,3,6999,28244,7569,333.63,199.07,487.97,LM,7,0.870807,all_model_readouts_v1,,,,unassigned,False,False,
9,6,5113,38456,5481,1191.78,445.48,222.38,RL,4,0.587646,all_model_readouts_v1,8.646911359377475e+17,root_864691135937747460,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
9,4,200,41493,214,618.08,485.07,170.37,V1,1,0.622109,all_model_readouts_v1,,,,unassigned,False,False,
5,7,3338,61387,3655,456.38,243.04,303.71,LM,3,0.40299,all_model_readouts_v1,,,,unassigned,False,False,
8,5,2729,14872,2871,1089.95,438.39,230.39,RL,2,0.542976,all_model_readouts_v1,8.646911359766148e+17,root_864691135976614723,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
